Owner,Name,Stars,URL,Created Date,Branch Count,Forks Count,Languages,Languages Proportions
kathyhernndez,portfolio_say_my_brand,4.0,https://github.com/kathyhernndez/portfolio_say_my_brand,2021-11-18,2.0,2.0,"['Python', 'CSS', 'JavaScript', 'HTML']","{'Python': 0.4559879625196635, 'CSS': 0.25565966760139525, 'JavaScript': 0.18035702072361673, 'HTML': 0.10799534915532454}"
KSP-RO,GoForLaunch,2.0,https://github.com/KSP-RO/GoForLaunch,2016-02-29,1.0,2.0,[],{}
SF001User,Group0_Project,0.0,https://github.com/SF001User/Group0_Project,2020-11-01,19.0,2.0,"['Java', 'HTML']","{'Java': 0.9520999652898299, 'HTML': 0.04790003471017008}"
NhaPhatHanh,github,18.0,https://github.com/NhaPhatHanh/github,2021-04-28,1.0,16.0,[],{}
azitahk,SQL-Team,2.0,https://github.com/azitahk/SQL-Team,2020-08-28,1.0,0.0,"['Jupyter Notebook', 'HTML', 'Python', 'PHP', 'Shell']","{'Jupyter Notebook': 0.9814667511644621, 'HTML': 0.014493613703423823, 'Python': 0.0033152944089188284, 'PHP': 0.0007077121482825453, 'Shell': 1.662857491265379e-05}"
QuTech-Delft,cQASM-spec,3.0,https://github.com/QuTech-Delft/cQASM-spec,2018-12-12,2.0,0.0,[],{}
kihongmin,NCF,2.0,https://github.com/kihongmin/NCF,2020-06-09,1.0,0.0,"['Jupyter Notebook', 'Python']","{'Jupyter Notebook': 0.6703281519861831, 'Python': 0.32967184801381694}"
jaityron,new-pac-wiki,26.0,https://github.com/jaityron/new-pac-wiki,2019-03-18,1.0,28.0,[],{}
arnaud33200,HexaCodeColorConverter,0.0,https://github.com/arnaud33200/HexaCodeColorConverter,2015-12-08,1.0,2.0,['HTML'],{'HTML': 1.0}
jorgeatorres,vertex,2.0,https://github.com/jorgeatorres/vertex,2010-02-10,2.0,0.0,"['JavaScript', 'HTML', 'Python', 'CSS']","{'JavaScript': 0.5354280184837336, 'HTML': 0.31825104829125506, 'Python': 0.11801922542876019, 'CSS': 0.02830170779625116}"
hypergraphdb,owl,3.0,https://github.com/hypergraphdb/owl,2015-07-08,4.0,2.0,"['Java', 'Shell']","{'Java': 0.9993966578677766, 'Shell': 0.0006033421322233862}"
oxenprogrammer,thenextweb-clone,7.0,https://github.com/oxenprogrammer/thenextweb-clone,2020-11-30,16.0,0.0,"['HTML', 'CSS']","{'HTML': 0.701816347124117, 'CSS': 0.29818365287588294}"
hemanishah00,-Restaurant-Recommendation-System-using-the-Yelp-dataset,0.0,https://github.com/hemanishah00/-Restaurant-Recommendation-System-using-the-Yelp-dataset,2022-04-03,1.0,2.0,['Jupyter Notebook'],{'Jupyter Notebook': 1.0}
